Frequency [D/H],Data Type,Observation time UTC,Data Source,Radiation [MJ/m2],PERIOD [hrs]
D,Global,2016-11-10T10:59:00Z,D,25.51,24
D,Global,2016-11-11T10:59:00Z,D,17.18,24
D,Global,2016-11-12T10:59:00Z,D,10.17,24
D,Global,2016-11-13T10:59:00Z,D,21.31,24
D,Global,2016-11-14T10:59:00Z,D,16.74,24
D,Global,2016-11-15T10:59:00Z,D,4.57,24
D,Global,2016-11-16T10:59:00Z,D,19.64,24
D,Global,2016-11-17T10:59:00Z,D,14.11,24
D,Global,2016-11-18T10:59:00Z,D,28.04,24
D,Global,2016-11-19T10:59:00Z,D,10.6,24
D,Global,2016-11-20T10:59:00Z,D,32.09,24
D,Global,2016-11-21T10:59:00Z,D,31.77,24
D,Global,2016-11-22T10:59:00Z,D,31.75,24
D,Global,2016-11-23T10:59:00Z,D,32.19,24
D,Global,2016-11-24T10:59:00Z,D,30.04,24
D,Global,2016-11-25T10:59:00Z,D,6.86,24
D,Global,2016-11-26T10:59:00Z,D,23.55,24
D,Global,2016-11-27T10:59:00Z,D,17.03,24
D,Global,2016-11-28T10:59:00Z,D,23.04,24
D,Global,2016-11-29T10:59:00Z,D,23.02,24
D,Global,2016-11-30T10:59:00Z,D,18.58,24
D,Global,2016-12-01T10:59:00Z,D,15,24
D,Global,2016-12-02T10:59:00Z,D,20.45,24
D,Global,2016-12-03T10:59:00Z,D,25.02,24
D,Global,2016-12-04T10:59:00Z,D,25.15,24
D,Global,2016-12-05T10:59:00Z,D,22.42,24
D,Global,2016-12-06T10:59:00Z,D,28.16,24
D,Global,2016-12-07T10:59:00Z,D,20.87,24
D,Global,2016-12-08T10:59:00Z,D,5.88,24
D,Global,2016-12-09T10:59:00Z,D,21.57,24
D,Global,2016-12-10T10:59:00Z,D,11.87,24
D,Global,2016-12-11T10:59:00Z,D,25.77,24
D,Global,2016-12-12T10:59:00Z,D,25.56,24
D,Global,2016-12-13T10:59:00Z,D,26.75,24
D,Global,2016-12-14T10:59:00Z,D,12.41,24
D,Global,2016-12-15T10:59:00Z,D,14.3,24
D,Global,2016-12-16T10:59:00Z,D,33.32,24
D,Global,2016-12-17T10:59:00Z,D,33.64,24
D,Global,2016-12-18T10:59:00Z,D,28.28,24
D,Global,2016-12-19T10:59:00Z,D,7.86,24
D,Global,2016-12-20T10:59:00Z,D,34.03,24
D,Global,2016-12-21T10:59:00Z,D,32.72,24
D,Global,2016-12-22T10:59:00Z,D,18.18,24
D,Global,2016-12-23T10:59:00Z,D,22.64,24
D,Global,2016-12-24T10:59:00Z,D,21.69,24
D,Global,2016-12-25T10:59:00Z,D,20.38,24
D,Global,2016-12-26T10:59:00Z,D,28.07,24
D,Global,2016-12-27T10:59:00Z,D,28.99,24
D,Global,2016-12-28T10:59:00Z,D,33.43,24
D,Global,2016-12-29T10:59:00Z,D,17.56,24
D,Global,2016-12-30T10:59:00Z,D,28.27,24
D,Global,2016-12-31T10:59:00Z,D,23.34,24
D,Global,2017-01-01T10:59:00Z,D,14.38,24
D,Global,2017-01-02T10:59:00Z,D,12.08,24
D,Global,2017-01-03T10:59:00Z,D,6.72,24
D,Global,2017-01-04T10:59:00Z,D,27.6,24
D,Global,2017-01-05T10:59:00Z,D,33.11,24
D,Global,2017-01-06T10:59:00Z,D,28.3,24
D,Global,2017-01-07T10:59:00Z,D,30.2,24
D,Global,2017-01-08T10:59:00Z,D,28.45,24
D,Global,2017-01-09T10:59:00Z,D,28.14,24
D,Global,2017-01-10T10:59:00Z,D,20.16,24
D,Global,2017-01-11T10:59:00Z,D,30.31,24
D,Global,2017-01-12T10:59:00Z,D,27.42,24
D,Global,2017-01-13T10:59:00Z,D,29.71,24
D,Global,2017-01-14T10:59:00Z,D,25.42,24
D,Global,2017-01-15T10:59:00Z,D,9.26,24
D,Global,2017-01-16T10:59:00Z,D,29.13,24
D,Global,2017-01-17T10:59:00Z,D,32.8,24
D,Global,2017-01-18T10:59:00Z,D,14.85,24
D,Global,2017-01-19T10:59:00Z,D,12.11,24
D,Global,2017-01-20T10:59:00Z,D,23.61,24
D,Global,2017-01-21T10:59:00Z,D,19.53,24
D,Global,2017-01-22T10:59:00Z,D,22.98,24
D,Global,2017-01-23T10:59:00Z,D,16.59,24
D,Global,2017-01-24T10:59:00Z,D,30.26,24
D,Global,2017-01-25T10:59:00Z,D,9.25,24
D,Global,2017-01-26T10:59:00Z,D,29.35,24
D,Global,2017-01-27T10:59:00Z,D,29.82,24
D,Global,2017-01-28T10:59:00Z,D,31.22,24
D,Global,2017-01-29T10:59:00Z,D,28.92,24
D,Global,2017-01-30T10:59:00Z,D,29.01,24
D,Global,2017-01-31T10:59:00Z,D,23.94,24
D,Global,2017-02-01T10:59:00Z,D,15.61,24
D,Global,2017-02-02T10:59:00Z,D,14.1,24
D,Global,2017-02-03T10:59:00Z,D,25.36,24
D,Global,2017-02-04T10:59:00Z,D,29.21,24
D,Global,2017-02-05T10:59:00Z,D,28.99,24
D,Global,2017-02-06T10:59:00Z,D,28.55,24
D,Global,2017-02-07T10:59:00Z,D,16.33,24
D,Global,2017-02-08T10:59:00Z,D,8.46,24
D,Global,2017-02-09T10:59:00Z,D,16.19,24
D,Global,2017-02-10T10:59:00Z,D,21.78,24
D,Global,2017-02-11T10:59:00Z,D,26.3,24
D,Global,2017-02-12T10:59:00Z,D,15.8,24
D,Global,2017-02-13T10:59:00Z,D,7.47,24
D,Global,2017-02-14T10:59:00Z,D,8.79,24
D,Global,2017-02-15T10:59:00Z,D,22.64,24
D,Global,2017-02-16T10:59:00Z,D,3.8,24
D,Global,2017-02-17T10:59:00Z,D,9.18,24
D,Global,2017-02-18T10:59:00Z,D,9.54,24
D,Global,2017-02-19T10:59:00Z,D,20.47,24
D,Global,2017-02-20T10:59:00Z,D,14.69,24
D,Global,2017-02-21T10:59:00Z,D,26.59,24
D,Global,2017-02-22T10:59:00Z,D,22.07,24
D,Global,2017-02-23T10:59:00Z,D,17.61,24
D,Global,2017-02-24T10:59:00Z,D,18.21,24
D,Global,2017-02-25T10:59:00Z,D,22.28,24
D,Global,2017-02-26T10:59:00Z,D,20.82,24
D,Global,2017-02-27T10:59:00Z,D,15.08,24
D,Global,2017-02-28T10:59:00Z,D,16.24,24
D,Global,2017-03-01T10:59:00Z,D,17.61,24
D,Global,2017-03-02T10:59:00Z,D,23.43,24
D,Global,2017-03-03T10:59:00Z,D,19.96,24
D,Global,2017-03-04T10:59:00Z,D,12.75,24
D,Global,2017-03-05T10:59:00Z,D,22.25,24
D,Global,2017-03-06T10:59:00Z,D,18.43,24
D,Global,2017-03-07T10:59:00Z,D,9.13,24
D,Global,2017-03-08T10:59:00Z,D,2.3,24
D,Global,2017-03-09T10:59:00Z,D,7.66,24
D,Global,2017-03-10T10:59:00Z,D,12.96,24
D,Global,2017-03-11T10:59:00Z,D,3.58,24
D,Global,2017-03-12T10:59:00Z,D,3.66,24
D,Global,2017-03-13T10:59:00Z,D,18.89,24
D,Global,2017-03-14T10:59:00Z,D,17.96,24
D,Global,2017-03-15T10:59:00Z,D,20.26,24
D,Global,2017-03-16T10:59:00Z,D,19.54,24
D,Global,2017-03-17T10:59:00Z,D,20.74,24
D,Global,2017-03-18T10:59:00Z,D,16.45,24
D,Global,2017-03-19T10:59:00Z,D,20.22,24
D,Global,2017-03-20T10:59:00Z,D,11.67,24
D,Global,2017-03-21T10:59:00Z,D,20.2,24
D,Global,2017-03-22T10:59:00Z,D,7.41,24
D,Global,2017-03-23T10:59:00Z,D,13.63,24
D,Global,2017-03-24T10:59:00Z,D,10.55,24
D,Global,2017-03-25T10:59:00Z,D,13.06,24
D,Global,2017-03-26T10:59:00Z,D,9.27,24
D,Global,2017-03-27T10:59:00Z,D,6.44,24
D,Global,2017-03-28T10:59:00Z,D,12.88,24
D,Global,2017-03-29T10:59:00Z,D,4.8,24
D,Global,2017-03-30T10:59:00Z,D,10.78,24
