"Date","MET_radswd","MET_radlwd","MET_cldcvr","MET_tmpair","MET_airmax","MET_airmin","MET_dewmax","MET_dewmin","MET_humrel","MET_tmpdew","MET_prvapr","MET_prsttn","MET_prmslp","MET_wndspd","MET_wnddir","MET_wnduvu","MET_wnduvv","MET_pprain","MET_ppsnow"
1990-05-25,62.117,332.692,0.905,12.536,0,0,0,0,90.311,10.991,13.124,96729.3,100012.407,2.578,80.086,2.54,0.444,2.277,0
1990-05-26,107.849,279.82,0.544,11.344,0,0,0,0,79.529,7.931,10.684,96778.5,100077.223,5.764,68.492,5.363,2.113,0.048,0
1990-05-27,76.191,281.048,0.812,9.751,0,0,0,0,78.305,6.155,9.458,97472.7,100814.05,3.143,54.628,2.562,1.819,0.016,0
1990-05-28,99.246,286.541,0.614,10.702,0,0,0,0,82.864,7.907,10.666,97199.4,100520.073,4.46,66.919,4.103,1.748,0.118,0
1990-05-29,83.821,296.397,0.741,11.096,0,0,0,0,81.179,7.991,10.727,97063.2,100374.554,3.747,63.367,3.349,1.68,0.164,0
1990-05-30,84.323,293.42,0.731,10.929,0,0,0,0,83.986,8.328,10.975,97453.4,100780.048,2.663,54.663,2.172,1.54,0.021,0
1990-05-31,76.412,302.41,0.791,9.103,0,0,0,0,89.455,7.46,10.344,97720.5,101078.146,0.815,84.005,0.81,0.085,0.057,0
1990-06-01,31.127,342.317,1,11.341,0,0,0,0,97.445,10.951,13.088,97189.4,100502.164,1.465,203.055,-0.574,-1.348,10.008,0
1990-06-02,83.101,322.624,0.719,11.777,0,0,0,0,92.872,10.661,12.838,96981.2,100281.748,1.959,108.185,1.861,-0.611,9.196,0
1990-06-03,70.47,318.381,0.808,10.854,0,0,0,0,92.233,9.643,11.993,97022.9,100335.737,0.352,133.343,0.256,-0.242,2.294,0
1990-06-04,94.172,295.858,0.6,8.733,0,0,0,0,91.754,7.466,10.348,96461,99779.773,1.705,60.67,1.486,0.835,2.313,0
1990-06-05,62.372,282.426,0.872,7.173,0,0,0,0,89.295,5.529,9.054,96023.6,99345.973,2.886,42.895,1.965,2.114,5.971,0
1990-06-06,112.585,233.552,0.383,5.482,0,0,0,0,73.383,1.098,6.621,96945.4,100320.307,2.895,37.439,1.76,2.299,1.228,0
1990-06-07,114.802,231.048,0.343,5.737,0,0,0,0,66.88,0.058,6.142,97549.9,100942.696,3.719,19.197,1.223,3.512,0.013,0
1990-06-08,96.343,244.409,0.579,5.871,0,0,0,0,74.708,1.724,6.925,98234.2,101649.136,2.778,356.27,-0.181,2.772,0.015,0
1990-06-09,94.261,246.376,0.598,5.47,0,0,0,0,74.834,1.359,6.746,97823.6,101229.228,3.047,354.539,-0.29,3.034,0.006,0
1990-06-10,72.623,271.884,0.786,6.754,0,0,0,0,82.655,4.01,8.143,97015.1,100376.869,3.082,354.905,-0.274,3.07,0.361,0
1990-06-11,71.504,283.378,0.789,8.259,0,0,0,0,84.573,5.813,9.236,96674.9,100006.712,3.087,347.839,-0.65,3.017,0.636,0
1990-06-12,89.447,271.807,0.625,7.991,0,0,0,0,83.896,5.434,8.996,96891.7,100234.213,2.322,345.437,-0.584,2.247,0.168,0
1990-06-13,95.02,270.455,0.565,6.355,0,0,0,0,88.937,4.665,8.525,97086.2,100455.297,1.075,69.934,1.009,0.369,0.353,0
1990-06-14,103.862,270.488,0.451,6.976,0,0,0,0,84.997,4.626,8.503,97102.7,100464.804,1.796,70.302,1.691,0.605,0.048,0
1990-06-15,88.68,259.338,0.627,7.162,0,0,0,0,87.601,5.243,8.876,97474.1,100846.785,1.513,78.31,1.481,0.306,0.004,0
1990-06-16,86.193,265.104,0.65,7.094,0,0,0,0,89.615,5.503,9.038,97616.7,100995.149,1.251,59.693,1.08,0.631,0.002,0
1990-06-17,54.293,305.857,0.913,6.872,0,0,0,0,92.686,5.77,9.206,97233.3,100601.185,1.342,63.309,1.199,0.603,0.008,0
1990-06-18,43.921,298.999,0.982,7.807,0,0,0,0,96.283,7.252,10.196,97056.2,100406.611,0.483,48.667,0.363,0.319,3.226,0
1990-06-19,32.753,326.967,1,8.38,0,0,0,0,97.567,8.017,10.742,97002.2,100343.846,2.054,269.015,-2.054,-0.035,19.173,0
1990-06-20,34.515,324.674,1,8.427,0,0,0,0,96.919,7.966,10.705,96475,99797.918,1.139,336.792,-0.449,1.047,15.538,0
1990-06-21,71.5,279.301,0.779,7.088,0,0,0,0,92.925,6.021,9.368,95729.7,99042.914,2.147,71.297,2.034,0.689,4.418,0
