Date,Temp_C,Temp_min,Temp_max,HumRel_mean,n_hours,RadSWD_mean,Precip_mm,Wind_Spd_ms
2022-04-03,17.741666666666667,14.4,23,84.04166666666667,24,222.33796296296296,0,1.55
2022-04-04,18.020833333333332,13.6,22.6,84.54166666666667,24,165.50925925925927,0,1.86
2022-04-05,18.045833333333334,16,20.8,88.25,24,86.11111111111111,3.6,2.62
2022-04-06,16.658333333333335,10.7,22.6,75.04166666666667,24,171.99074074074073,0,4.11
2022-04-07,10.375,3.9,17.5,70.125,24,215.74074074074073,0,3.43
2022-04-08,12.95,6.5,18.4,71.91666666666667,24,206.13425925925927,0,2.59
2022-04-09,12.054166666666667,5.6,18.8,77.91666666666667,24,160.76388888888889,0,1.45
2022-04-10,12.8625,6.1,21.1,78.04166666666667,24,202.08333333333331,0,1.9
2022-04-11,14.191666666666666,9.4,20.5,81.54166666666667,24,158.21759259259258,0,1.41
2022-04-12,15.420833333333334,13.7,19.1,87.08333333333333,24,87.03703703703704,7.4,3.04
2022-04-13,13.854166666666666,9.4,17.7,65.29166666666667,24,103.24074074074075,0,5.65
2022-04-14,10.9125,4.3,18.8,77.375,24,202.08333333333334,0,2.27
2022-04-15,13.579166666666666,9.6,18.8,82.5,24,177.08333333333334,0.6,1.71
2022-04-16,12.370833333333334,6.8,19.5,82.33333333333333,24,164.58333333333334,0,2.07
2022-04-17,13.6875,10.4,19.7,66.875,24,142.47685185185185,0,2.58
2022-04-18,16.0125,14.9,17.7,79.625,24,71.06481481481481,0.4,2.48
2022-04-19,16.795833333333334,16.2,18.1,94.75,24,94.67592592592592,2,2.69
2022-04-20,17.245833333333334,16.5,19.5,93.5,24,103.58796296296296,5.8,4.29
2022-04-21,16.575,15.3,18.5,95.375,24,75,21.2,3.03
2022-04-22,13.466666666666667,9.2,19.9,68.54166666666667,24,138.0787037037037,0,4.38
2022-04-23,10.408333333333333,5.8,16,75.54166666666667,24,175,0,2.35
2022-04-24,12.966666666666667,6.2,18,79.25,24,149.1898148148148,0,3.13
2022-04-25,11.0625,5,19.1,84,24,139.12037037037038,0,1.88
2022-04-26,13.691666666666666,8.9,19,76.58333333333333,24,164.23611111111111,0,1.57
2022-04-27,11.9875,7.9,18.2,68.83333333333333,24,135.99537037037035,0,2.93
2022-04-28,11.1875,4.6,18.1,74.75,24,159.49074074074073,0,1
2022-04-29,10.375,5.8,16.6,80.04166666666667,24,165.50925925925927,0,1.04
2022-04-30,10.858333333333333,5.9,17.5,81.95833333333333,24,162.61574074074073,0,1.37
2022-05-01,13.441666666666666,11.4,16.2,90.41666666666667,24,75.34722222222223,0.8,1.06
2022-05-02,12.0875,8.1,17.4,91.375,24,107.4074074074074,0,1.31
2022-05-03,13.741666666666667,10.7,18.1,88.83333333333333,24,132.98611111111111,0,1.18
2022-05-04,11.983333333333334,7.6,18.1,87.41666666666667,24,134.25925925925927,0,1.37
2022-05-05,10.758333333333333,5.9,18.3,86.95833333333333,24,146.41203703703704,0,1.57
2022-05-06,11.954166666666667,7.5,18.7,87,24,147.22222222222223,0,1.54
2022-05-07,10.645833333333334,5.5,18.1,86.5,24,145.02314814814815,0,1.24
2022-05-08,12.041666666666666,8.4,17.5,87.41666666666667,24,102.31481481481481,0,1.32
2022-05-09,13.075,9.6,16.5,92.04166666666667,24,78.58796296296296,12.4,1.75
2022-05-10,10.816666666666666,8.1,15.4,65.41666666666667,24,151.1574074074074,0,5.14
2022-05-11,7.975,2.4,13.1,71.08333333333333,24,139.12037037037038,0,3.55
2022-05-12,7.708333333333333,2.2,15.5,77.66666666666667,24,144.5601851851852,0,2.34
2022-05-13,10.4125,5.7,16.2,82.875,24,108.2175925925926,0,0.93
2022-05-14,13.883333333333333,12.6,15.5,82.08333333333333,24,59.9537037037037,2.8,1.93
2022-05-15,16.0125,15.2,17.6,90.875,24,64.00462962962963,13.4,2.52
2022-05-16,15.4375,12.1,19.2,90.04166666666667,24,79.97685185185185,0,2.19
2022-05-17,16.754166666666666,15.4,18.6,90.95833333333333,24,47.10648148148148,1.4,2.41
2022-05-18,14.925,11.5,19.3,91.5,24,74.65277777777777,0.4,1.02
2022-05-19,13.370833333333334,11.7,15.9,90.45833333333333,24,30.324074074074073,18.6,2.19
2022-05-20,9.066666666666666,6.3,13.8,79.29166666666667,24,98.95833333333333,9,4.98
2022-05-21,11.8,10.2,13.7,76.25,24,114.69907407407408,0,3.83
2022-05-22,11.45,8.6,14.9,80.625,24,87.61574074074075,0.2,2.12
2022-05-23,7.254166666666666,1.6,14.9,84,24,132.17592592592592,0,2.5
2022-05-24,10.870833333333334,7.5,13.6,77.625,24,95.37037037037037,0,2.57
